video_id,publishing_date,view_count,title_on_youtube
9LGLbcjXxqI,2014-03-20T20:50:54Z,22101,"10. Wafer Silicon-Based Solar Cells, Part I"
3NQlT1SYpuQ,2014-03-20T20:50:16Z,9660,"11. Wafer Silicon-Based Solar Cells, Part II"
rhV4Wnz8g-U,2014-03-20T20:50:22Z,46145,"12. Thin Films: Material Choices & Manufacturing, Part I"
PLVjevMsQpQ,2014-03-20T20:51:09Z,8404,"13. Thin Films: Material Choices & Manufacturing, Part II"
lLcDbHI5KGU,2014-03-20T20:50:27Z,12553,14. PV Efficiency: Measurement and Theoretical Limits
FLbfYpkSZ84,2014-03-20T20:49:00Z,5431,15. Advanced Concepts
yHzpj_MDOdk,2014-03-20T20:51:15Z,15188,16. Solar Cell Characterization
C42jXQLc_Jo,2014-03-20T20:49:05Z,8178,"17. Modules, Systems, and Reliability"
n25tsUQb3vo,2014-03-20T20:50:41Z,4731,"18. Cost, Price, Markets, & Support Mechanisms, Part I"
KUjWMEBSS8Q,2014-03-20T20:48:48Z,3132,"19. Cost, Price, Markets, & Support Mechanisms, Part II"
c4jP3XCZ4Sw,2014-03-20T20:48:53Z,4498,20. R&D Investment & Innovation in PV
IYBYmOVmICg,2011-03-17T20:30:24Z,111903,"Lec 1 | MIT 2.71 Optics, Spring 2009"
Q84-DIyl5wQ,2011-03-17T19:52:40Z,29983,"Lec 2 | MIT 2.71 Optics, Spring 2009"
X6cea7dAhBc,2011-03-17T20:49:20Z,19661,"Lec 3 | MIT 2.71 Optics, Spring 2009"
gAL5fCEBfac,2011-03-17T19:53:59Z,13295,"Lec 4 | MIT 2.71 Optics, Spring 2009"
JmK0vSLULP8,2011-03-17T21:32:23Z,11466,"Lec 5 | MIT 2.71 Optics, Spring 2009"
_jKHejk45Sg,2011-03-17T19:56:40Z,13097,"Lec 6 | MIT 2.71 Optics, Spring 2009"
VHIJPHqwV_0,2011-03-17T20:54:48Z,9199,"Lec 7 | MIT 2.71 Optics, Spring 2009"
jNSvbmc_ecM,2011-03-17T19:50:23Z,8132,"Lec 8 | MIT 2.71 Optics, Spring 2009"
8WXUYdXNFy8,2011-03-17T20:29:27Z,7744,"Lec 9 | MIT 2.71 Optics, Spring 2009"
8u0Mfs1m_r8,2011-03-17T20:35:25Z,8539,"Lec 11 | MIT 2.71 Optics, Spring 2009"
roATER6-1yI,2011-03-17T20:08:10Z,7038,"Lec 12 | MIT 2.71 Optics, Spring 2009"
MK5uZttfWfM,2011-03-17T21:00:54Z,6389,"Lec 13 | MIT 2.71 Optics, Spring 2009"
LDlGKU0ryQ8,2011-03-17T19:55:05Z,6653,"Lec 14 | MIT 2.71 Optics, Spring 2009"
933cBlGFDcs,2011-03-17T20:36:58Z,10797,"Lec 15 | MIT 2.71 Optics, Spring 2009"
JmWguqCZRxk,2011-03-17T20:05:48Z,7179,"Lec 16 | MIT 2.71 Optics, Spring 2009"
Xke7rX3QO-k,2011-03-17T20:24:41Z,9962,"Lec 17 | MIT 2.71 Optics, Spring 2009"
u6GbFCWIH_0,2011-03-17T20:13:19Z,5632,"Lec 18 | MIT 2.71 Optics, Spring 2009"
ML5yVI18uaI,2011-03-17T21:03:34Z,4962,"Lec 19 | MIT 2.71 Optics, Spring 2009"
OWgogzEUC5E,2011-03-17T20:41:52Z,4821,"Lec 20 | MIT 2.71 Optics, Spring 2009"
W-7gI87IG1A,2011-03-17T20:35:10Z,4279,"Lec 22 | MIT 2.71 Optics, Spring 2009"
vcqPRPkyWPU,2011-03-17T20:22:33Z,3606,"Lec 23 | MIT 2.71 Optics, Spring 2009"
IpFIp68ODNI,2011-03-17T19:58:32Z,3382,"Lec 25 | MIT 2.71 Optics, Spring 2009"
s8XKzciLgak,2011-03-17T20:49:28Z,3866,"Lec 26 | MIT 2.71 Optics, Spring 2009"
kC2SEiGaqoA,2009-10-01T03:48:25Z,86377,"Lec 1 | MIT 2.830J Control of Manufacturing Processes, S08"
GrXkZYhkUS8,2009-11-02T19:11:21Z,29971,"Lec 2 | MIT 2.830J Control of Manufacturing Processes, S08"
turMcLH-o_o,2009-10-01T04:02:05Z,14709,"Lec 3 | MIT 2.830J Control of Manufacturing Processes, S08"
R4lUaI7VsK4,2009-10-01T04:27:58Z,7024,"Lec 4 | MIT 2.830J Control of Manufacturing Processes, S08"
OQ-534Ovf4U,2009-10-01T04:04:25Z,4359,"Lec 5 | MIT 2.830J Control of Manufacturing Processes, S08"
W20WvURZAIE,2009-10-01T04:18:46Z,3450,"Lec 6 | MIT 2.830J Control of Manufacturing Processes, S08"
TvrU_6NYBFs,2009-10-01T03:53:48Z,13578,"Lec 7 | MIT 2.830J Control of Manufacturing Processes, S08"
MyWivgwDPtg,2009-10-01T04:10:53Z,3863,"Lec 8 | MIT 2.830J Control of Manufacturing Processes, S08"
