video_titles,video_ids,video_number
[],[],[]
[],[],[]
"['LECTURE 1: INTRODUCTION AND OVERVIEW', 'LECTURE 2: PROCESSING OF CELLULAR SOLIDS', 'LECTURE 3: STRUCTURE OF CELLULAR SOLIDS', 'LECTURE 4: HONEYCOMBS: IN-PLANE BEHAVIOR', 'LECTURE 5: HONEYCOMBS: OUT-OF-PLANE BEHAVIOR', 'LECTURE 6: NATURAL HONEYCOMBS: WOOD', 'LECTURE 7: NATURAL HONEYCOMBS: CORK; FOAMS: LINEAR ELASTICITY', 'LECTURE 8: FOAMS: NON-LINEAR ELASTICITY', 'LECTURE 9: FOAMS: THERMAL PROPERTIES', 'LECTURE 10: EXAM REVIEW', 'LECTURE 11: TRABECULAR BONE AND OSTEOPOROSIS', 'LECTURE 12: OSTEOPOROSIS AND EVOLUTION', 'LECTURE 13: TISSUE ENGINEERING SCAFFOLDS: PROCESSING AND PROPERTIES', 'LECTURE 14: TISSUE ENGINEERING: OSTEOCHONDRAL SCAFFOLD; HOW TO WRITE A PAPER', 'LECTURE 15: CELL-SCAFFOLD INTERACTIONS; ENERGY ABSORPTION', 'LECTURE 16: APPLICATIONS: ENERGY ABSORPTION IN FOAMS', 'LECTURE 17: SANDWICH PANELS', 'LECTURE 18: NATURAL SANDWICH STRUCTURES; DENSITY GRADIENTS', 'LECTURE 19: BIOMIMICKING', 'LECTURE 20: HOW I BECAME A PROFESSOR']","['hOZ6-geaRUo', 'bDnia4HJRqk', 'q-9YlXesHtI', 'q-uLJN8upWE', 'Btl0HCfSPuU', 'jJvVmdkiD3Y', '5NUS6bcUXmY', 'WiFahA1iAv4', '_tdj84EV7BI', 'cQpCPzetm3E', 'v73uMp1fPjM', 'yDr8Df35C64', 'Txidu-5VYfU', 'UgKnOuaY1G8', 'vVfI1wTp0Jg', 'yK5SA6HngCY', '4zpQwirFsbk', 'LzA1OqHY68M', 'kpbG3L5awgk', 'Sf4VkBA-LZc']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
"['LECTURE 1: INTRODUCTION', 'LECTURE 2: THE PERIODIC TABLE', 'LECTURE 3: ATOMIC MODELS', 'LECTURE 4: ATOMIC SPECTRA', 'LECTURE 5: SHELL MODELS AND QUANTUM NUMBERS', 'LECTURE 6: ELECTRON SHELL MODEL, QUANTUM NUMBERS, AND PES', 'LECTURE 7: AUFBAU PRINCIPLE AND ATOMIC ORBITALS', 'LECTURE 8: IONIZATION ENERGY AND POTENTIAL ENERGY SURFACE (PES)', 'LECTURE 9: LEWIS STRUCTURES I', 'LECTURE 10: LEWIS STRUCTURES II', 'LECTURE 11: SHAPES OF MOLECULES AND VSEPR', 'LECTURE 12: MOLECULAR ORBITALS', 'LECTURE 13: HYBRIDIZATION', 'LECTURE 14: INTERMOLECULAR FORCES', 'BONUS LECTURE 1: PHASES', 'LECTURE 15: SEMICONDUCTORS', 'LECTURE 16: DOPING', 'LECTURE 17: METALS', 'LECTURE 18: INTRODUCTION TO CRYSTALLOGRAPHY', 'LECTURE 19: CRYSTALLOGRAPHIC NOTATION', 'LECTURE 20: X-RAY EMISSION AND ABSORPTION', 'LECTURE 21: X-RAY DIFFRACTION TECHNIQUES I', 'LECTURE 22: X-RAY DIFFRACTION TECHNIQUES II', 'LECTURE 23: POINT AND LINE DEFECTS I', 'LECTURE 24: POINT AND LINE DEFECTS II', 'LECTURE 25: INTRODUCTION TO GLASSY SOLIDS', 'LECTURE 26: ENGINEERING GLASS PROPERTIES', 'LECTURE 27: REACTION RATES', 'LECTURE 28: INTRODUCTION TO AQUEOUS SOLUTIONS', 'LECTURE 29: ACIDS AND BASES I', 'LECTURE 30: ACIDS AND BASES II', 'LECTURE 31: EXAM REVIEW', 'LECTURE 32: POLYMERS I', 'BONUS LECTURE 2: THE CHEMISTRY OF BATTERIES', 'LECTURE 33: POLYMERS II', 'LECTURE 34: INTRODUCTION TO ORGANIC CHEMISTRY', 'LECTURE 35: DIFFUSION I', 'LECTURE 36: DIFFUSION II']","['Ao41FrJFgvQ', 'HaL1Q8f7M_o', 'e_WABkM-Kxo', 'Ji20_qhjk2Y', 'rkFY8WB8tfs', '4Dr3Q-ezMZk', 'bhPMi2IvZXs', 'LV3l9yqJwio', 'DvGNpuan4rw', 'aCJECIYz8gM', 'g9v8zj6VObw', 'L0b9wq0js4I', 'UzDqh-1Koyc', 'OMFpHmfC1pY', 'P34zaLtmsn0', 'CxAkraYlBuE', 'Ep7mkm_T0Po', 'Yap0AKRczf0', 'R0sw85RkKCY', 'g4lxRZ7T5_o', 'tKyaGnPni3U', 'AqCz_b7VJK8', 'S1kqa_qGmHs', 'YROT1JTNLWs', '7_IoLAXtQ3k', 'AbyrF4VtlYY', 'KPJvO_00LKQ', 'GhwBpZx3LjI', '9SvAZgd0J_A', 'ZSv_gYLBi8E', 'xrf39mMxPZg', '1rgmGwAqMYc', 'LMSTMBX_2F4', 'uOEXP2WEo3M', 'cMIRECEsKHM', 'iPzRbK3wApI', 'j4m0Ye5Qgcg', 'UF94OiDYgBY']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]"
[],[],[]
[],[],[]
"['LECTURE 1: INTRODUCTION AND CASE STUDIES', 'LECTURE 2: POTENTIALS, SUPERCELLS, RELAXATION, METHODOLOGY', 'LECTURE 3: POTENTIALS 2', 'LECTURE 5: FIRST PRINCIPLES ENERGY METHODS', 'LECTURE 6: FIRST PRINCIPLES ENERGY METHODS', 'LECTURE 7: TECHNICAL ASPECTS OF DENSITY FUNCTIONAL THEORY', 'LECTURE 8: CASE STUDIES OF DFT', 'LECTURE 9: ADVANCED DFT - SUCCESS AND FAILURE', 'LECTURE 11: FINITE TEMPERATURE', 'LECTURE 13: MOLECULAR DYNAMICS I', 'LECTURE 14: MOLECULAR DYNAMICS II', 'LECTURE 15: MOLECULAR DYNAMICS III: FIRST PRINCIPLES', 'LECTURE 17: MONTE CARLO SIMULATIONS', 'LECTURE 18: MONTE CARLO SIMULATION II', 'LECTURE 19: FREE ENERGIES AND PHYSICAL COARSE-GRAINING', 'LECTURE 20: MODEL HAMILTONIONS', 'LECTURE 22: AB-INITIO THERMODYNAMICS AND STRUCTURE PREDICTION', 'LECTURE 23: ACCELERATED MOLECULAR DYNAMICS', 'LECTURE 25: CASE STUDIES - HIGH PRESSURE']","['tynCH4dosA8', 'kHdqdTe7G44', 'HcQ7bdBGbEs', '3HXG1kxmYVs', 'U5SKba2lCuw', '-B96m5X2xCM', 'egK3Cih11J4', 'WAc7fQ1qzAc', 'zyId5iqW6Ig', 'gQ1YPzcHZqo', '_CTZDDFaE5A', 'LInWiab7q6Q', '3FumIu7Qito', 'ZsqPyPe7B5w', 'TqHS4tpujnw', 'K8qD73y8jag', 'yYAHcATzuno', 'SbtqjZk80Qc', 'qOTTNo9iXJc']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]"
"['INTRODUCTION TO CRYSTALLOGRAPHY - PART 1', 'INTRODUCTION TO CRYSTALLOGRAPHY - PART 2', 'CRYSTALLINE STRUCTURE AND GEOMETRY - PART 1', 'CRYSTALLINE STRUCTURE AND GEOMETRY - PART 2', 'TRANSLATION, ROTATION, PERIODICITY - PART 1', 'TRANSLATION, ROTATION, PERIODICITY - PART 2', '2D SYMMETRIES - PART 1', '2D SYMMETRIES - PART 2', '2D PLANE GROUPS, LATTICES - PART 1', '2D PLANE GROUPS, LATTICES - PART 2', '2D PLANE GROUPS, LATTICES (CONT.) - PART 1', '2D PLANE GROUPS, LATTICES (CONT.) - PART 2', '2D PLANE GROUPS, LATTICES (CONT.) - PART 1', '2D PLANE GROUPS, LATTICES (CONT.) - PART 2', 'DIFFRACTION, 3D SYMMETRIES - PART 1', 'DIFFRACTION, 3D SYMMETRIES - PART 2', '3D SYMMETRIES, POINT GROUPS - PART 1', '3D SYMMETRIES, POINT GROUPS - PART 2', 'POINT GROUPS - PART 1', 'POINT GROUPS - PART 2', '3D LATTICES - PART 1', '3D LATTICES - PART 2', 'PHYSICAL PROPERTIES OF CRYSTAL STRUCTURES - PART 1', 'PHYSICAL PROPERTIES OF CRYSTAL STRUCTURES - PART 2', 'FINAL LECTURE ON SYMMETRY: 3D SPACE GROUPS - PART 1', 'FINAL LECTURE ON SYMMETRY: 3D SPACE GROUPS - PART 2', 'SPACE GROUP NOTATION/TENSORS - PART 1', 'SPACE GROUP NOTATION/TENSORS - PART 2', 'TENSORS (CONT.) - PART 1', 'TENSORS (CONT.) - PART 2', 'TENSORS (CONT.) - PART 1', 'TENSORS (CONT.) - PART 2', 'REPRESENTATION QUADRIC - PART 1', 'REPRESENTATION QUADRIC - PART 2', 'STRESS AND STRAIN TENSORS - PART 1', 'STRESS AND STRAIN TENSORS - PART 2', 'SHEER AND THERMAL EXPANSION TENSORS - PART 1', 'SHEER AND THERMAL EXPANSION TENSORS - PART 2', 'PIEZOELECTRICITY - PART 1', 'PIEZOELECTRICITY - PART 2', 'PIEZOELECTRICITY (CONT.) - PART 1', 'PIEZOELECTRICITY (CONT.) - PART 2', '4TH RANK TENSOR PROPERTIES - PART 1']","['vT_6DlaHcWQ', 'aWdqvyhzzIY', 'e-DMqNXtT9Q', 'pi1IagGYJ3E', 'APv1uyLL6ok', 'kYgBLGwuBpw', 'cUzZ-qu3xws', '2dms7bxzoXk', 'THTQT2aykaA', 'pEOSGrQkn44', '-HJE0OYHTH4', 'xRWGiK2SMrw', 'XYKEtZiierI', '2SYV_b3OelQ', 'DKDcpkK3pM8', 'KJheruCbwHU', '9JXMg32f09w', 'w1qapsDFz2g', 'B4xIxr3fB7c', '1v17Gfdydfg', '7rm5sVtj-hs', 'Z7ftUJAx-1E', 'eDCS197EzU8', 'IPTyKqZpbCM', 'JKUrC05a-4k', '8gOVW9fKOcY', 'dGd519SL114', 'Vyf-lQjk0rY', 'lPgglz6xeZU', '4CBKF4LT8l8', 'I0vEDYqXLeg', 'Bd4Q4Dl4brc', 'hVqoXS5PyzY', '4v94PCyrQqo', 'JyIsB5D3ZCg', 'QyJkYF-L1Kg', 'ew9ujMlyOTU', 'RoxLGn5VN4g', 'O8q7AqZxtXQ', 'V1i2bknbWfc', 'GvtsFAxn-H8', 'FEsKwINx--I', 'eCPASv7NaHk']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]"
[],[],[]
"['LEC 1: INTRODUCTION', 'LEC 2: NORMATIVE THEORY I: THE CITY AS SUPERNATURAL', 'LEC 3: NORMATIVE THEORY II: THE CITY AS MACHINE', 'LEC 4: NORMATIVE THEORY III: THE CITY AS ORGANISM', 'LEC 5: DESCRIPTIVE AND FUNCTIONAL THEORY', 'LEC 6: DIMENSIONS, PATTERNS, AGREEMENTS, STRUCTURE, AND SYNTAX', 'LEC 7: THE EARLY CITIES OF CAPITALISM', 'LEC 8: TRANSFORMATIONS I: LONDON', 'LEC 9: TRANSFORMATIONS II: PARIS', 'LEC 10: TRANSFORMATIONS III: VIENNA AND BARCELONA', 'LEC 11: TRANSFORMATIONS IV: CHICAGO', 'LEC 12: TRANSFORMATIONS V: PANOPTICISM, ST. PETERSBURG AND BERLIN', 'LEC 13: UTOPIANISM AS SOCIAL REFORM AND BUILT FORM', 'LEC 14: 20TH CENTURY REALIZATIONS: RUSSIA AND GREAT BRITAIN', 'LEC 15: CITY FORM AND PROCESS', 'LEC 16: SPATIAL & SOCIAL STRUCTURE I: THEORY', 'LEC 17: SPATIAL & SOCIAL STRUCTURE II: BIPOLARITY', 'LEC 18: SPATIAL & SOCIAL STRUCTURE III: COLONY & POST-COLONY', 'LEC 19: FORM MODELS I: MODERN AND POST-MODERN URBANISM', 'LEC 20: FORM MODELS II: OPEN-ENDEDNESS AND PROPHECY', 'LEC 21: FORM MODELS III AND IV: RATIONALITY AND MEMORY', 'LEC 22: CASES I: PUBLIC AND PRIVATE DOMAINS', 'LEC 23: CASES II: SUBURBS AND PERIPHERY', 'LEC 24: CASES III: POST-URBANISM AND RESOURCE CONSERVATION', 'LEC 25: CASES IV: HYPER AND MEGA-URBANISM', 'LEC 26: CONCLUSION: TOWARDS A THEORY OF CITY FORM']","['k2_wuThLG6o', 'rbTLRBdEcqA', 'oBKDFgLoR9o', 'gMmamytjyXI', '0su7rM_7_DM', 'ayw-96xs-ag', 'SEu8X7AfllU', 'qBrYZb6tdo4', 'fyQFGf2z4gQ', 'wOR8XgKnWZA', 'urE_22UEO_8', 'Lac4liQeHEQ', 'lKy6EMP3Yhw', 'HHpf1He752s', 'yv3PIJF1Uqc', 'MOcWRURkmS0', '1Aj6M4peeGw', 'H2GNZX0h84I', 'LYudSLnQEkY', '4DX9GM_kZmc', 'Wf4_tmPw1As', 'q485E0u9Kjk', '1KRy9nUmzfM', '3V5ORt7shjI', 'X1F6a1FWirM', 'M4VQypB3o90']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
