video_titles,video_ids,video_number
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
[],[],[]
"['LECTURE 1: THE IMPORTANCE OF CHEMICAL PRINCIPLES', 'LECTURE 2: DISCOVERY OF ELECTRON AND NUCLEUS', 'LECTURE 3: WAVE-PARTICLE DUALITY OF LIGHT', 'LECTURE 4: WAVE-PARTICLE DUALITY OF MATTER', 'LECTURE 5: HYDROGEN ATOM ENERGY LEVELS', 'LECTURE 6: HYDROGEN ATOM WAVEFUNCTIONS', 'LECTURE 7: P-ORBITALS', 'LECTURE 8: MULTIELECTRON ATOMS AND ELECTRON CONFIGURATIONS', 'LECTURE 9: PERIODIC TRENDS', 'LECTURE 10: COVALENT BONDS', 'LECTURE 11: LEWIS STRUCTURES', 'LECTURE 12: IONIC BONDS', 'LECTURE 13: POLAR COVALENT BONDS AND VSEPR THEORY', 'LECTURE 14: MOLECULAR ORBITAL THEORY', 'LECTURE 15: VALENCE BOND THEORY AND HYBRIDIZATION', 'LECTURE 16: THERMOCHEMISTRY', 'LECTURE 17: ENTROPY AND DISORDER', 'LECTURE 18: FREE ENERGY AND CONTROL OF SPONTANEITY', 'LECTURE 19: CHEMICAL EQUILIBRIUM', ""LECTURE 20: LE CHATELIER'S PRINCIPLE"", 'LECTURE 21: ACID-BASE EQUILIBRIUM', 'LECTURE 22: CHEMICAL AND BIOLOGICAL BUFFERS', 'LECTURE 23: ACID-BASE TITRATIONS', 'LECTURE 24: BALANCING REDOX EQUATIONS', 'LECTURE 25: ELECTROCHEMICAL CELLS', 'LECTURE 26: CHEMICAL AND BIOLOGICAL REDOX REACTIONS', 'LECTURE 27: TRANSITION METALS', 'LECTURE 28: CRYSTAL FIELD THEORY', 'LECTURE 29: METALS IN BIOLOGY', 'LECTURE 30: MAGNETISM AND SPECTROCHEMICAL THEORY', 'LECTURE 31: RATE LAWS', 'LECTURE 32: NUCLEAR CHEMISTRY AND ELEMENTARY REACTIONS', 'LECTURE 33: REACTION MECHANISM', 'LECTURE 34: TEMPERATURE AND KINETICS', 'LECTURE 35: ENZYME CATALYSIS', 'LECTURE 36: BIOCHEMISTRY']","['-c-X8zk0ywo', 'l-BNoAPe6qo', 'Ey25vULQ6YM', 'iWZDVWdtjMY', 'MBz0swcfztQ', 'Pj2fkkZ6Gto', 'N1FTKBCq8V0', 'f7RRqxv2pzg', 'LPh2Ut7D4WA', '5qTCy2wTL_s', '8b56I8U24xU', 'Y9QVFYjiOIA', 'l6Bf5ktvM_g', 'llaa-iEYDLI', '3AVSORIJJJY', 'SbabED1wRMo', 'ZjVicrRxFtM', '7mcSMG0-3FU', 'eyDAcbzXgb4', 'MUUl2yd3C9s', 'GOBzZMaiMss', 'pAuRZr0AHhI', 'XxvD0Yh9qCM', 'I3g7KRIvQPI', 'iev2WlpKoGc', 'sQx1Y_CArYA', 'l_oKZG_PqlA', 'pZEjVRqe-N4', 'C_Kg0EMPEJ8', 'TgbFcaozNzs', 'oQ-qDHADAaM', 'PJFW3Vrv-5w', 'wnOOQnW5Un4', 'rGAcOfOZToA', 'pkNwvhEm1GQ', 'qTrw6f_sbOw']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
[],[],[]
"['LECTURE 1: ATOMIC THEORY OF MATTER', 'LECTURE 2: DISCOVERY OF NUCLEUS', 'LECTURE 3: WAVE-PARTICLE DUALITY OF RADIATION AND MATTER', 'LECTURE 4: PARTICLE-LIKE NATURE OF LIGHT', 'LECTURE 5: MATTER AS A WAVE', 'LECTURE 6: SCHRÖDINGER EQUATION FOR H ATOM', 'LECTURE 7: HYDROGEN ATOM WAVEFUNCTIONS', 'LECTURE 8: P ORBITALS', 'LECTURE 9: ELECTRONIC STRUCTURE OF MULTIELECTRON ATOMS', 'LECTURE 10: PERIODIC TRENDS IN ELEMENTAL PROPERTIES', 'LECTURE 11: WHY WAVEFUNCTIONS ARE IMPORTANT', 'LECTURE 12: IONIC BONDS ‑ CLASSICAL MODEL AND MECHANISM', 'LECTURE 13: KINETIC THEORY ‑ BEHAVIOR OF GASES', 'LECTURE 14: DISTRIBUTION MOLECULAR ENERGIES', 'LECTURE 15: INTERNAL DEGREES OF FREEDOM', 'LECTURE 16: INTERMOLECULAR INTERACTIONS', 'LECTURE 17: POLARIZABILITY', 'LECTURE 18: THERMODYNAMICS AND SPONTANEOUS CHANGE', 'LECTURE 19: MOLECULAR DESCRIPTION OF ACIDS AND BASES', 'LECTURE 20: LEWIS AND BRØNSTED ACID-BASE CONCEPTS', 'LECTURE 21: TITRATION CURVES AND PH INDICATORS', 'LECTURE 22: ELECTRONS IN CHEMISTRY: REDOX PROCESSES', 'LECTURE 23: CELL POTENTIALS AND FREE ENERGY', 'LECTURE 24: THEORY OF MOLECULAR SHAPES', 'LECTURE 25: VALENCE BOND THEORY', 'LECTURE 26: MOLECULAR ORBITAL THEORY', 'LECTURE 27: MOLECULAR ORBITAL THEORY FOR DIATOMIC MOLECULES', 'LECTURE 28: MOLECULAR ORBITAL THEORY FOR POLYATOMIC MOLECULES', 'LECTURE 29: CRYSTAL FIELD THEORY', 'LECTURE 30: CRYSTAL FIELD THEORY (CONT.)', 'LECTURE 31: COLOR AND MAGNETISM OF COORDINATION COMPLEXES', 'LECTURE 32: COORDINATION COMPLEXES AND LIGANDS', 'LECTURE 33: LIGAND SUBSTITUTION REACTIONS: KINETICS', 'LECTURE 34: BONDING IN METALS AND SEMICONDUCTORS', 'LECTURE 36: NUCLEAR CHEMISTRY AND THE CARDIOLITE STORY']","['dxR06Mi8ExI', 'CVRmu_aBSho', 'mJAf9OYfLV8', 'm9AJwUCAWGQ', 'HT4sxODPR2Q', 'oLbTUpxhE24', 'UGoGgkHYS10', '9Cl8mj5VIHA', 'KUVB9S0QX-I', 'lawooSesSfM', 'QyishgPCBfg', 'MRJUxK-hhYw', 'UqQRXRtvM9o', 'dAgwg_8RyEU', 'OpmQh1ChWdE', 'sNdTPKvsYXg', 'M8QoJojEklw', 'qm_hVsoM4OY', 'tbWuyysnj9U', '-uEwMV9DHZo', '4xRS6bdFsVM', 'ZRxwArdDnac', 'LRFbAo-RIIU', '_YpkKYmQBwY', 'r8-cr6wrOgE', 'JrL2jlkoRUY', 'UesUBkX9HIQ', 'u95Cxl2IeNc', 'NVTHQwQ9IqA', 'hjFnG8m6mCc', 'gb60YssaSmI', 'hG8KdheMUeo', 'yi6a_COcfxw', 'qK6DgAM-q7U', 'CgzHOo9NaOY']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]"
"['LECTURE 1: INTRODUCTORY LECTURE TO 5.310', 'LECTURE 2: THE FERROCENE LECTURE', 'LECTURE 3: WRITING UP THE LAB REPORT', ""LECTURE 4: WHAT'S SIGNIFICANT IN LABORATORY MEASUREMENT? ERROR ANALYSIS LECTURE"", 'LECTURE 5: ELLEN SWALLOW RICHARDS, PART 1', 'LECTURE 6: ELLEN SWALLOW RICHARDS, PART 2', 'LECTURE 7: ELLEN SWALLOW RICHARDS, PART 3', 'LECTURE 8: ESSENTIAL OILS, PART 1', 'LECTURE 9: ESSENTIAL OILS, PART 2', 'LECTURE 10: FISCHER ESTERIFICATION', 'LECTURE 11: CATALASE, PART 1', 'LECTURE 12: CATALASE ACID PART 2', 'LECTURE 14: MASS SPECTROSCOPY ESTERIFICATION, PART 2', 'LECTURE 15: NMR SPECTROSCOPY ESTERIFICATION LECTURE, PART 3']","['l1hMkDTg2lg', 'EuVpZmQ5v6A', 'J23egLCM2tc', 'sV_yiHbMUF8', 'OQq7qH74T5E', '-l9SfGuZJYE', 'JIw9mnVeFig', 'LNCLrmAvSlU', 'sukzgrxfSx8', 'oc7sODbVGuA', 'TgrNa_Guigs', 'yiSZecIWBIc', 'dgRLgf4oO2s', 'Ea2YTXJrhkM']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
"['LECTURE 1: STATE OF A SYSTEM, 0TH LAW, EQUATION OF STATE', 'LECTURE 2: WORK, HEAT, FIRST LAW', 'LECTURE 3: INTERNAL ENERGY, EXPANSION WORK', 'LECTURE 4: ENTHALPY', 'LECTURE 5: ADIABATIC CHANGES', 'LECTURE 6: THERMOCHEMISTRY', 'LECTURE 7: CALORIMETRY', 'LECTURE 8: SECOND LAW', 'LECTURE 9: ENTROPY AND THE CLAUSIUS INEQUALITY', 'LECTURE 10: ENTROPY AND IRREVERSIBILITY', 'LECTURE 11: FUNDAMENTAL EQUATION, ABSOLUTE S, THIRD LAW', 'LECTURE 12: CRITERIA FOR SPONTANEOUS CHANGE', 'LECTURE 13: GIBBS FREE ENERGY', 'LECTURE 14: MULTICOMPONENT SYSTEMS, CHEMICAL POTENTIAL', 'LECTURE 15: CHEMICAL EQUILIBRIUM', 'LECTURE 16: TEMPERATURE, PRESSURE AND KP', 'LECTURE 17: EQUILIBRIUM: APPLICATION TO DRUG DESIGN', 'LECTURE 18: PHASE EQUILIBRIA — ONE COMPONENT', 'LECTURE 19: CLAUSIUS-CLAPEYRON EQUATION', 'LECTURE 20: PHASE EQUILIBRIA — TWO COMPONENTS', 'LECTURE 21: IDEAL SOLUTIONS', 'LECTURE 22: NON-IDEAL SOLUTIONS', 'LECTURE 23: COLLIGATIVE PROPERTIES', 'LECTURE 24: INTRODUCTION TO STATISTICAL MECHANICS', 'LECTURE 25: PARTITION FUNCTION (Q) — LARGE N LIMIT', 'LECTURE 26: PARTITION FUNCTION (Q) — MANY PARTICLES', 'LECTURE 27: STATISTICAL MECHANICS AND DISCRETE ENERGY LEVELS', 'LECTURE 28: MODEL SYSTEMS', 'LECTURE 29: APPLICATIONS: CHEMICAL AND PHASE EQUILIBRIA', 'LECTURE 30: INTRODUCTION TO REACTION KINETICS', 'LECTURE 31: COMPLEX REACTIONS AND MECHANISMS', 'LECTURE 32: STEADY-STATE AND EQUILIBRIUM APPROXIMATIONS', 'LECTURE 33: CHAIN REACTIONS', 'LECTURE 34: TEMPERATURE DEPENDENCE, EA, CATALYSIS', 'LECTURE 35: ENZYME CATALYSIS', 'LECTURE 36: AUTOCATALYSIS AND OSCILLATORS']","['kLqduWF6GXE', 'TDqx8Zv1rRo', 'RrVq7Yduz2g', 'g14939TMTCE', 'rWLeg-W4EF0', '8Xpn2jorigU', '6uLKZSoHnrc', 'e124JF_DHCQ', 'DqEmrt_xQTg', 'QrzHB9_kHPE', 'r4fGG_7NQr8', 'jsoD3oZAAXI', 'srjNMMtPATo', 'gLo958Kdeoo', 'Cc2l1QTTZA4', 'DOq2YChGmlg', '_PmJoExiSPo', '6kBqi9vVC6s', 'Bd7PVX7rohQ', '2QdI6_gEyx4', 'RUz-DJz3--I', 'eXUFm8lA5yE', 'wCSl5eeMSDY', 'u6s_jy0n6vI', 'xgUCzL3TD1g', 'RT_v0PhXP5E', 'HYh3aq_NG8Q', 'BTNsoSNR5B0', '6LYuK8qI0_s', 'DZ138JSpoxQ', 'Q7mrSQkSB9U', 'lLdUm6AU0aw', 'qYqI9IWyv-c', 'oKwGNgCTd-Q', 'dkHcgAzsvAk', 'U2BNmEnry6E']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
"['LECTURE 1: QUANTUM MECHANICS—HISTORICAL BACKGROUND, PHOTOELECTRIC EFFECT, COMPTON SCATTERING', 'LECTURE 2: WAVE NATURE OF THE ELECTRON AND THE INTERNAL STRUCTURE OF AN ATOM', 'LECTURE 3: TWO-SLIT EXPERIMENT, QUANTUM WEIRDNESS', 'LECTURE 4: CLASSICAL WAVE EQUATION AND SEPARATION OF VARIABLES', 'LECTURE 5: QUANTUM MECHANICS: FREE PARTICLE AND PARTICLE IN 1D BOX', 'LECTURE 6: 3-D BOX AND QM SEPARATION OF VARIABLES', 'LECTURE 7: CLASSICAL MECHANICAL HARMONIC OSCILLATOR', 'LECTURE 8: QUANTUM MECHANICAL HARMONIC OSCILLATOR', 'LECTURE 9: THE HARMONIC OSCILLATOR: CREATION AND ANNIHILATION OPERATORS', 'LECTURE 10: THE TIME-DEPENDENT SCHRÖDINGER EQUATION', 'LECTURE 11: WAVEPACKET DYNAMICS FOR HARMONIC OSCILLATOR AND PIB', 'LECTURE 12: CATCH UP AND REVIEW, POSTULATES', 'LECTURE 13: FROM HIJ INTEGRALS TO H MATRICES I', 'LECTURE 14: FROM HIJ INTEGRALS TO H MATRICES II', 'LECTURE 15: NON-DEGENERATE PERTURBATION THEORY I', 'LECTURE 16: NON-DEGENERATE PERTURBATION THEORY II: HO USING A,A†', 'LECTURE 17: RIGID ROTOR I. ORBITAL ANGULAR MOMENTUM', 'LECTURE 18: RIGID ROTOR II. DERIVATION BY COMMUTATION RULES', 'LECTURE 19: SPECTROSCOPY: PROBING MOLECULES WITH LIGHT', 'LECTURE 20: HYDROGEN ATOM I', 'LECTURE 21: HYDROGEN ATOM II. RYDBERG STATES', 'LECTURE 22: HELIUM ATOM', 'LECTURE 23: MANY-ELECTRON ATOMS', 'LECTURE 24: MOLECULAR ORBITAL THEORY I. VARIATIONAL PRINCIPLE AND MATRIX MECHANICS', 'LECTURE 25: MOLECULAR ORBITAL THEORY II. H2+, A2, AB DIATOMICS', 'LECTURE 26: QUALITATIVE MO THEORY: HÜCKEL', 'LECTURE 27: NON-DEGENERATE PERTURBATION THEORY III', 'LECTURE 28: MODERN ELECTRONIC STRUCTURE THEORY: BASIS SETS', 'LECTURE 29: MODERN ELECTRONIC STRUCTURE THEORY: ELECTRONIC CORRELATION', 'LECTURE 30: TIME-DEPENDENT PERTURBATION THEORY I. H IS TIME-INDEPENDENT, ZEWAIL WAVEPACKET', 'LECTURE 31: TIME-DEPENDENT PERTURBATION THEORY II. H IS TIME-DEPENDENT: TWO-LEVEL PROBLEM', 'LECTURE 32: INTERMOLECULAR INTERACTIONS BY NON-DEGENERATE PERTURBATION THEORY', 'LECTURE 33: ELECTRONIC SPECTROSCOPY: FRANCK-CONDON', 'LECTURE 34: ELECTRONIC SPECTROSCOPY AND PHOTOCHEMISTRY', 'LECTURE 35: Δ-FUNCTIONS, EIGENFUNCTIONS OF X, DISCRETE VARIABLE REPRESENTATION', 'LECTURE 36: TIME DEPENDENCE OF TWO-LEVEL SYSTEMS: DENSITY MATRIX, ROTATING WAVE APPROXIMATION']","['XxRjzphItU0', '_TEMQhpsGFg', 'geKBtyDcZZY', 'SSVdDcC2LrQ', 'S-_PFdnImLM', '4bfrkd8_zPo', 'YmP1BADSAnc', 'N4vMgwWT-80', '3RGYj06NSTI', '9WthWtTxdj0', 'IZ405_YLKJQ', 'dHXZ2bFV6EE', 'zwz9M1XNn-c', 'zwH9MjZl3v4', 'yBCdnNIAiQg', 'YKfoSx16mXk', 'lfH99vfhiI4', '6wbWEDAg3B0', '_iSqhxWjkq8', '8kM9quINTHI', 'zq0KO8Gmrm0', 'DpNZ70Uam0M', 'JzW4RYICOdA', 'IoED49Ha8-o', 'mPSDaN4AJl8', 'sZlTriaYRM0', 'Z0ALwCckM24', 'BOryXuUMjI0', '6dJnvu3-LeU', 'zR6vXHHQZZA', 'MAbnZhFX3nk', 'QkMB_0jOvVA', 'gkRRlmes_jE', '6ROuKtm5zds', 'RGskPrZopRE', 'BEs4K6LSGzo']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]"
"['LECTURE 13: NONLINEAR POLARIZATION', 'LECTURE 14: DIAGRAMMATIC PERTURBATION THEORY', 'LECTURE 15: THIRD ORDER SPECTROSCOPY', 'LECTURE 16: CHARACTERIZING FLUCTUATIONS']","['Uic47mwXNuQ', 'NzHt2WqrS88', 'eBkhAL-0l50', 'hQbxesMB_N0']","[1, 2, 3, 4]"
[],[],[]
"['COURSE INTRODUCTION', 'LECTURE 1', 'LECTURE 2', 'LECTURE 3', 'LECTURE 4', 'LECTURE 5', 'LECTURE 6', 'LECTURE 7', 'LECTURE 8', 'LECTURE 9', 'LECTURE 10', 'LECTURE 11', 'LECTURE 12', 'LECTURE 13', 'LECTURE 14', 'LECTURE 15', 'LECTURE 16', 'LECTURE 17', 'LECTURE 18', 'LECTURE 19', 'LECTURE 20', 'LECTURE 21', 'LECTURE 22', 'LECTURE 23', 'LECTURE 24', 'LECTURE 25', 'LECTURE 26', 'LECTURE 27', 'LECTURE 28', 'LECTURE 29', 'LECTURE 30', 'LECTURE 31', 'LECTURE 33', 'LECTURE 34', 'LECTURE 35', 'LECTURE 36', 'LECTURE 37', 'LECTURE 38']","['WxqdIRbQp0c', 'Z-Ow4zRoI30', 'LYH8iiuvApI', 'zsxqmbdUXuo', 'yl8bygSTGTE', 'DaLRx48fnt4', 'a4krZtUkzMM', 'RnOQjczFcBY', 'GbuXLQ08n4A', 'pGpyDJwAI8A', 'C-72lxj3b-g', 'C1mHR4mkjd8', 'gJkHjo5lxGU', 'W1FtRnLslSA', 'IjFKbYqt0ik', '3p-AfjvEDqs', 'pXHeut3qV2Y', 'b4x3cdUY2VU', 'QnE_fuUCrg0', '_ax_ViGCxLI', 'qOAs4HVCR48', 'aNe5O7dxYOc', 'O1OZqHaRZNg', 'ic9ei_hEeJs', 'xnn2r4KuJeY', 'h2hAmn7cUxE', 'sXHck0ZjWmw', 'LXa9j8ZN5gU', 'xvUz7P-DjhI', 'P2hxNOFiBb4', 'uz7GkOzULm8', 'LQRPRIsCQkI', 'AVqr7VXpTFk', 'aFh1ZyxcHbQ', 'e2CGPcPNldA', 'AUBkR1-8fLY', 'fzU7FpMSD30', 'PjpLw1iqr4E']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38]"
[],[],[]
[],[],[]
"['LECTURE 1: WHAT IS COMPUTATION?', 'LECTURE 2: BRANCHING AND ITERATION', 'LECTURE 3: STRING MANIPULATION, GUESS AND CHECK, APPROXIMATIONS, BISECTION', 'LECTURE 4: DECOMPOSITION, ABSTRACTION, AND FUNCTIONS', 'LECTURE 5: TUPLES, LISTS, ALIASING, MUTABILITY, AND CLONING', 'LECTURE 6: RECURSION AND DICTIONARIES', 'LECTURE 7: TESTING, DEBUGGING, EXCEPTIONS, AND ASSERTIONS', 'LECTURE 8: OBJECT ORIENTED PROGRAMMING', 'LECTURE 9: PYTHON CLASSES AND INHERITANCE', 'LECTURE 10: UNDERSTANDING PROGRAM EFFICIENCY, PART 1', 'LECTURE 11: UNDERSTANDING PROGRAM EFFICIENCY, PART 2', 'LECTURE 12: SEARCHING AND SORTING']","['nykOeWgQcHM', '0jljZRnHwOI', 'SE4P7IVCunE', 'MjbuarJ7SE0', 'RvRKT-jXvko', 'WPSeyjX1-4s', '9H6muyZjms0', '-DP1i2ZU9gk', 'FlGjISF3l78', 'o9nW0uBqvEo', '7lQXYl_L28w', '6LOwPhPDwVc']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"['LECTURE 1: INTRODUCTION AND OPTIMIZATION PROBLEMS', 'LECTURE 2: OPTIMIZATION PROBLEMS', 'LECTURE 3: GRAPH-THEORETIC MODELS', 'LECTURE 4: STOCHASTIC THINKING', 'LECTURE 5: RANDOM WALKS', 'LECTURE 6: MONTE CARLO SIMULATION', 'LECTURE 7: CONFIDENCE INTERVALS', 'LECTURE 8: SAMPLING AND STANDARD ERROR', 'LECTURE 9: UNDERSTANDING EXPERIMENTAL DATA', 'LECTURE 10: UNDERSTANDING EXPERIMENTAL DATA (CONT.)', 'LECTURE 11: INTRODUCTION TO MACHINE LEARNING', 'LECTURE 12: CLUSTERING', 'LECTURE 13: CLASSIFICATION', 'LECTURE 14: CLASSIFICATION AND STATISTICAL SINS', 'LECTURE 15: STATISTICAL SINS AND WRAP UP']","['C1lhuz6pZC0', 'uK5yvoXnkSk', 'V_TulH374hw', '-1BnXEwHUok', '6wUD_gp5WeE', 'OgO1gpXSUzU', 'rUxP7TM8-wo', 'soZv_KKax3E', 'vIFKGFl1Cn8', 'fQvg-hh9dUw', 'h0e2HAPTGF4', 'esmzYhuFnds', 'eg8DJYwdMyg', 'K2SC-WPdT6k', 'iOZVbILaIZc']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
"['1A: OVERVIEW AND INTRODUCTION TO LISP', '1B: PROCEDURES AND PROCESSES; SUBSTITUTION MODEL', '2A: HIGHER-ORDER PROCEDURES', '2B: COMPOUND DATA', '3A: HENDERSON ESCHER EXAMPLE', '3B: SYMBOLIC DIFFERENTIATION; QUOTATION', '4A: PATTERN MATCHING AND RULE-BASED SUBSTITUTION', '4B: GENERIC OPERATORS', '5A: ASSIGNMENT, STATE, AND SIDE-EFFECTS', '5B: COMPUTATIONAL OBJECTS', '6A: STREAMS, PART 1', '6B: STREAMS, PART 2', '7A: METACIRCULAR EVALUATOR, PART 1', '7B: METACIRCULAR EVALUATOR, PART 2', '8A: LOGIC PROGRAMMING, PART 1', '8B: LOGIC PROGRAMMING, PART 2', '9A: REGISTER MACHINES', '9B: EXPLICIT-CONTROL EVALUATOR', '10A: COMPILATION', '10B: STORAGE ALLOCATION AND GARBAGE COLLECTION']","['-J_xL4IGhJA', 'V_7mmwpgJHU', 'eJeMOEiHv8c', 'DrFkf-T-6Co', 'PEwZL3H2oKg', 'bV87UzKMRtE', '_fXQ1SwKjDg', 'OscT4N2qq7o', 'dO1aqPBJCPg', 'yedzRWhi-9E', 'JkGKLILLy0I', 'qp05AtXbOP0', 'aAlR3cezPJg', 'QVEOq5k6Xi0', 'rCqMiPk1BJE', 'GReBwkGFZcs', 'cIc8ZBMcqAc', 'Z8-qWEEwTCk', 'TqO6V3qR9Ws', 'AbK4bZhUk48']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]"
"['LECTURE 1: INTRODUCTION AND LUMPED ABSTRACTION', 'LECTURE 2: BASIC CIRCUIT ANALYSIS METHOD', 'LECTURE 3: SUPERPOSITION, THÉVENIN AND NORTON', 'LECTURE 4: THE DIGITAL ABSTRACTION', 'LECTURE 5: INSIDE THE DIGITAL GATE', 'LECTURE 6: NONLINEAR ANALYSIS', 'LECTURE 7: INCREMENTAL ANALYSIS', 'LECTURE 8: DEPENDENT SOURCES AND AMPLIFIERS', 'LECTURE 9: MOSFET AMPLIFIER LARGE SIGNAL ANALYSIS (PART 1)', 'LECTURE 9: MOSFET AMPLIFIER LARGE SIGNAL ANALYSIS (PART 2)', 'LECTURE 10: AMPLIFIERS - SMALL SIGNAL MODEL', 'LECTURE 11: SMALL SIGNAL CIRCUITS', 'LECTURE 12: CAPACITORS AND FIRST-ORDER SYSTEMS', 'LECTURE 13: DIGITAL CIRCUIT SPEED', 'LECTURE 14: STATE AND MEMORY', 'LECTURE 15: SECOND-ORDER SYSTEMS (PART 1)', 'LECTURE 15: SECOND-ORDER SYSTEMS (PART 2)', 'LECTURE 16: SINUSOIDAL STEADY STATE', 'LECTURE 17: THE IMPEDANCE MODEL', 'LECTURE 18: FILTERS', 'LECTURE 19: THE OPERATIONAL AMPLIFIER ABSTRACTION', 'LECTURE 20: OPERATIONAL AMPLIFIER CIRCUITS', 'LECTURE 21: OP AMPS POSITIVE FEEDBACK', 'LECTURE 22: ENERGY AND POWER', 'LECTURE 23: ENERGY, CMOS', 'LECTURE 25: VIOLATING THE ABSTRACTION BARRIER']","['AfQxyVuLeCs', '2vHGYdepKLw', 'RsJ1eg7XNVs', '4TCnYYpZxEc', 'v6vqWasIHaw', 'OGtElTMJidE', 'JqvKtMNz3RQ', 'bEJ0-8pANA4', 'Nijya-QJ45Y', 'jURSAKBlIZA', '9RqFFlZgf60', 'R4KxlqsuZ0A', 'COdQmA9g9S8', 'TXJIhDHtHSI', 'bX8i2yECWaU', 'ypX20WnHNQw', '-gRXU-O1FY4', '3GdMaDzIUeQ', 'Km9YIdkc2Oo', 'WT-qzgaKeGI', 'V0z_f7qxLcY', '2SwT6JnfCq8', 'ke3SL_R92ys', 'wNuBD4PYWvs', 'JB2HgohNHYQ', 'dyxcCoUgETU']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]"
"['LECTURE 1: SIGNALS AND SYSTEMS', 'LECTURE 2: DISCRETE-TIME (DT) SYSTEMS', 'LECTURE 3: FEEDBACK, POLES, AND FUNDAMENTAL MODES', 'LECTURE 4: CONTINUOUS-TIME (CT) SYSTEMS', 'LECTURE 5: Z TRANSFORM', 'LECTURE 6: LAPLACE TRANSFORM', 'LECTURE 7: DISCRETE APPROXIMATION OF CONTINUOUS-TIME SYSTEMS', 'LECTURE 8: CONVOLUTION', 'LECTURE 9: FREQUENCY RESPONSE', 'LECTURE 10: FEEDBACK AND CONTROL', 'LECTURE 11: CONTINUOUS-TIME (CT) FREQUENCY RESPONSE AND BODE PLOT', 'LECTURE 12: CONTINUOUS-TIME (CT) FEEDBACK AND CONTROL, PART 1', 'LECTURE 13: CONTINUOUS-TIME (CT) FEEDBACK AND CONTROL, PART 2', 'LECTURE 14: FOURIER REPRESENTATIONS', 'LECTURE 15: FOURIER SERIES', 'LECTURE 16: FOURIER TRANSFORM', 'LECTURE 17: DISCRETE-TIME (DT) FREQUENCY REPRESENTATIONS', 'LECTURE 18: DISCRETE-TIME (DT) FOURIER REPRESENTATIONS', 'LECTURE 19: RELATIONS AMONG FOURIER REPRESENTATIONS', 'LECTURE 20: APPLICATIONS OF FOURIER TRANSFORMS', 'LECTURE 21: SAMPLING', 'LECTURE 22: SAMPLING AND QUANTIZATION', 'LECTURE 23: MODULATION, PART 1', 'LECTURE 24: MODULATION, PART 2', 'LECTURE 25: AUDIO CD']","['-FHm2pQmiSM', 'Ih4s5IFphCw', 'K3OFb7RlbVE', '4PlHFcfB8DA', 'iI-ejO9hczw', 'MRy8xxvsZA4', 'pqkYqU11ETA', 'w1Z2FX8rQc0', 'fKaZeD70p8I', 'TeVSxZgIHAA', '2X7o37pfdp8', '5w2BvCPuYY0', 'gxgV_oOG7Zc', 'ufU6b7OHb8M', 'N0CVIoVQkmc', 'iWZNTM139xQ', 'gwa-Rh0u6bs', '3D51nqZ-97Q', 'HDYAbIA-DNY', 'tp_MdKz3fC8', '1El4znkRH0g', 'bJvv5SckGeA', 'OT04cEdpK-M', 'OfMhtibbVXU', 't2hNMFoIv8w']","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]"
[],[],[]
